               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022487,           0.0051139,                   0,             0.94626,             0.94444,             0.97501,             0.70336,            0.022455,           0.0030134,                   0,             0.00852,             0.00852,             0.00852
                  39,            0.021984,            0.004956,                   0,              0.9488,             0.95019,             0.97629,             0.71132,            0.022168,           0.0030214,                   0,             0.00848,             0.00848,             0.00848
                  40,            0.022535,           0.0050678,                   0,             0.97574,             0.92472,             0.97086,             0.71451,            0.021571,           0.0029162,                   0,             0.00844,             0.00844,             0.00844
                  41,            0.021838,           0.0049241,                   0,             0.97148,             0.96169,             0.97534,             0.71553,            0.021635,           0.0029743,                   0,              0.0084,              0.0084,              0.0084
                  42,             0.02223,            0.004925,                   0,             0.97743,             0.94253,             0.97519,             0.70872,            0.021845,           0.0029766,                   0,             0.00836,             0.00836,             0.00836
                  43,            0.021474,           0.0048474,                   0,             0.97283,             0.96016,             0.96689,              0.7317,            0.021224,           0.0030246,                   0,             0.00832,             0.00832,             0.00832
                  44,            0.021624,           0.0048988,                   0,             0.97907,             0.94636,             0.97847,             0.72075,            0.020722,           0.0029001,                   0,             0.00828,             0.00828,             0.00828
                  45,            0.021541,           0.0048415,                   0,             0.96726,             0.94636,             0.97425,             0.72445,            0.021152,           0.0029479,                   0,             0.00824,             0.00824,             0.00824
                  46,             0.02169,           0.0049928,                   0,             0.96141,             0.95454,             0.97008,             0.69196,            0.022448,            0.002993,                   0,              0.0082,              0.0082,              0.0082
                  47,            0.020559,           0.0048009,                   0,             0.96505,             0.95214,             0.97298,             0.71995,            0.021778,           0.0029633,                   0,             0.00816,             0.00816,             0.00816
                  48,            0.020929,           0.0047759,                   0,             0.97379,             0.94253,             0.97057,             0.71481,            0.022233,           0.0029644,                   0,             0.00812,             0.00812,             0.00812
                  49,              0.0211,           0.0047286,                   0,             0.96517,             0.95542,             0.97856,             0.73425,            0.021305,           0.0029269,                   0,             0.00808,             0.00808,             0.00808
                  50,            0.020647,           0.0047613,                   0,             0.95226,             0.95402,              0.9712,             0.73327,            0.020759,           0.0028616,                   0,             0.00804,             0.00804,             0.00804
                  51,            0.020659,           0.0047611,                   0,             0.96834,             0.93739,             0.96464,             0.72993,            0.020777,           0.0029206,                   0,               0.008,               0.008,               0.008
                  52,            0.020457,           0.0048575,                   0,             0.96878,             0.95111,             0.96892,              0.7346,            0.020746,           0.0029279,                   0,             0.00796,             0.00796,             0.00796
                  53,            0.019951,           0.0045734,                   0,             0.96616,             0.94253,             0.97337,              0.7254,            0.021011,           0.0029102,                   0,             0.00792,             0.00792,             0.00792
